[2026-06-10 10:16:39.139] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:39.150] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:39.160] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:39.168] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:39.195] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:39.214] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:39.216] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:39.227] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:39.237] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.246] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:39.256] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:39.267] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:39.277] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:39.320] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:39.339] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:39.339] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:39.349] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:39.360] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:39.368] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.379] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:39.398] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:39.421] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:39.430] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:39.441] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:39.450] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:39.460] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:39.471] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:39.482] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:39.521] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.542] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:39.553] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:39.562] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:39.572] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:39.585] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:39.623] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:39.641] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:39.645] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:39.655] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:39.664] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.675] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:39.700] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:39.725] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:39.736] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:39.746] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:39.754] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:39.764] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:39.775] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:39.785] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:39.806] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.831] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:39.842] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:39.852] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:39.863] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:39.871] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:39.881] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:39.935] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:39.952] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:39.954] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:39.963] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:39.974] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:39.982] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:40.024] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:40.041] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:40.043] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:40.056] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:40.064] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:40.075] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:40.083] [info] event: set_vel_all, value: 98296310543872
